"timestamp","container","test_type","model","run","final verdict","turns_taken","rv_traces_used","feedback_used","verdict_pre_feedback","feedback_category","input_tokens","output_tokens","total_tokens","llm_seconds"

"2026-05-03T04:08:33+00:00","COLLECTIONS-812","td","claude","run 1","PASSED","1","yes","","","","8156","6613","14769","91.7"
"2026-05-03T04:08:33+00:00","COLLECTIONS-812","td","claude","run 2","PASSED","1","yes","","","","8156","8357","16513","113.0"
"2026-05-03T04:08:33+00:00","COLLECTIONS-812","td","openai","run 1","PASSED","2","yes","","","","14004","1088","15092","9.7"
"2026-05-03T04:08:33+00:00","COLLECTIONS-812","td","openai","run 2","PASSED","2","yes","","","","14022","1065","15087","10.1"
"2026-05-03T04:20:34+00:00","COLLECTIONS-812","td","claude","run 1","PASSED","1","no","","","","7077","5601","12678","75.5"
"2026-05-03T04:20:34+00:00","COLLECTIONS-812","td","claude","run 2","PASSED","1","no","","","","7077","7146","14223","112.1"
"2026-05-03T04:20:34+00:00","COLLECTIONS-812","td","openai","run 1","FAILED","2","no","","","","12238","1011","13249","8.1"
"2026-05-03T04:20:34+00:00","COLLECTIONS-812","td","openai","run 2","PASSED","2","no","","","","12240","1117","13357","9.2"
