JavaMOP,"112,186","157,366","4,380,672 (6)",TraceMOP,"335,955","573,331","16,834,997","3,516","58,977 (1)"
ValgJ,"73,445","46,553","28,227 (6)",ValgT,"193,538","131,426","727,375","3,167",433 (1)
java-uuid-generator,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),java-uuid-generator,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"35,180","33,352",2 (2),TraceMOP,"257,111","223,279","20,836,567",127,0 (0)
ValgJ,"23,206","9,885",2 (2),ValgT,"149,153","59,139","62,434",135,0 (0)
dictomaton,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),dictomaton,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"162,380","164,333",763 (24),TraceMOP,"509,024","496,127","42,763,179","13,851",763 (24)
ValgJ,"132,950","110,117",118 (24),ValgT,"256,411","207,477","5,573,008","12,531",144 (24)
bplustree,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),bplustree,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"152,519","172,587",11 (6),TraceMOP,"559,117","513,331","63,527,054",191,11 (6)
ValgJ,"122,535","69,501",9 (6),ValgT,"301,059","130,702","123,074",177,11 (6)
rtree,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),rtree,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"391,759","406,471","84,043 (18)",TraceMOP,"460,408","377,867","32,902,006","2,845","84,011 (10)"
ValgJ,"149,398","78,927",21 (18),ValgT,"243,476","101,376","1,283,165","1,971",13 (10)
rtree-multi,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),rtree-multi,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"237,648","222,238",21 (6),TraceMOP,"287,135","203,900","19,917,364","38,483",5 (5)
ValgJ,"102,268","45,662",6 (6),ValgT,"163,022","59,156","1,117,494","5,370",5 (5)
rtree2,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),rtree2,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"206,211","248,200",19 (4),TraceMOP,"251,203","140,105","16,549,219","1,823",3 (3)
ValgJ,"91,108","35,391",4 (4),ValgT,"127,302","46,266","822,320","1,664",3 (3)
jpoker,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),jpoker,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"125,749","46,553",6 (6),TraceMOP,"960,759","491,982","96,171,019","1,729",2 (2)
ValgJ,"63,332","23,687",6 (6),ValgT,"186,668","30,064","113,664",989,2 (2)
cassette-nibbler,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),cassette-nibbler,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"297,919","331,671","358,700 (2)",TraceMOP,"1,863,074","1,253,761","189,025,748","27,778","358,700 (2)"
ValgJ,"96,901","101,770","55,620 (2)",ValgT,"281,608","128,769","323,490","3,060","29,139 (2)"
java-vector-tile,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),java-vector-tile,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"108,331","118,817",80 (13),TraceMOP,"5,128,150","1,074,044","15,228,014","2,697",80 (13)
ValgJ,"104,289","83,799",48 (13),ValgT,"4,972,378","920,329","3,396,319","2,317",66 (13)
uuid-creator,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),uuid-creator,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"43,538","17,436",0 (0),TraceMOP,"76,127","28,909","637,026",209,0 (0)
ValgJ,"52,297","13,270",0 (0),ValgT,"77,215","23,564","112,546",198,0 (0)
databuilderframework,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),databuilderframework,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"278,520","7,312,982","36,462 (3)",TraceMOP,"750,906","18,146,928","52,035,791","1,465","36,464 (3)"
ValgJ,"222,090","129,793",464 (3),ValgT,"267,783","161,822","3,199,021","1,295",464 (3)
Fuzzino,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),Fuzzino,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"128,878","201,385",303 (15),TraceMOP,"1,520,075","1,523,875","502,042","7,007",294 (13)
ValgJ,"85,923","117,346",92 (15),ValgT,"1,264,435","1,270,143","116,353","6,287",88 (13)
JaroWinklerSimilarity,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),JaroWinklerSimilarity,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"373,009","483,869",22 (22),TraceMOP,"3,166,114","2,756,731","137,423,749","11,234",22 (22)
ValgJ,"382,259","287,639",22 (22),ValgT,"1,086,335","390,941","20,750,954","8,403",22 (22)
progex,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),progex,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"71,157","53,958",611 (4),TraceMOP,"286,621","236,180","20,485,631","42,792",611 (4)
ValgJ,"59,972","33,420",522 (4),ValgT,"129,105","58,194","1,230,297","26,369",52 (4)
ASM-NonClassLoad..,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),ASM-NonClassLoad..,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"152,824","101,362",8 (2),TraceMOP,"484,328","257,609","32,040,243","41,829",0 (0)
ValgJ,"143,559","65,568",2 (2),ValgT,"266,922","102,093","1,479,596","41,584",0 (0)
jlemmagen,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),jlemmagen,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"299,807","319,551","3,431 (3)",TraceMOP,"16,806","10,380","1,259,132","2,072","3,431 (3)"
ValgJ,"104,180","105,268",184 (3),ValgT,"9,987","2,135","76,240",818,192 (3)
sensitive-word,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),sensitive-word,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"271,671","329,143",0 (0),TraceMOP,"1,139,010","1,194,754","99,409,175",312,0 (0)
ValgJ,"189,398","160,598",0 (0),ValgT,"304,386","204,661","296,245",255,0 (0)
jieba-analysis,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),jieba-analysis,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"83,850","87,716","1,698,933 (3)",TraceMOP,"250,555","228,804","18,908,140","1,096","1,698,993 (3)"
ValgJ,"68,748","57,540","94,528 (3)",ValgT,"154,575","89,211","986,076",673,"85,516 (3)"
vowpal-wabbit-java,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),vowpal-wabbit-java,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"464,729","478,157",0 (0),TraceMOP,"3,140,129","2,586,884","287,481,041",280,0 (0)
ValgJ,"292,003","176,754",0 (0),ValgT,"721,508","293,301","20,508,982",273,0 (0)
jackcess,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),jackcess,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"211,304","154,255","5,987,769 (39)",TraceMOP,"1,106,212","792,602","39,707,980","49,367","5,987,697 (30)"
ValgJ,"155,904","76,646","3,028,937 (39)",ValgT,"312,485","121,482","1,153,485","22,646","4,142,826 (30)"
kiara,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),kiara,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"255,062","372,890",1 (1),TraceMOP,"1,431,839","1,408,799","8,848,868","104,712",1 (1)
ValgJ,"217,097","199,446",1 (1),ValgT,"324,487","236,704","241,192","26,497",1 (1)
consistent-hash-algo..,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),consistent-hash-algo..,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"76,289","91,216",0 (0),TraceMOP,"488,571","393,774","56,100,200",31,0 (0)
ValgJ,"33,219","16,886",0 (0),ValgT,"124,287","125,933","25,220",31,0 (0)
HyperMinHash-java,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),HyperMinHash-java,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"174,229","86,432",12 (1),TraceMOP,"409,856","255,597","33,218,916",78,12 (1)
ValgJ,"164,985","54,653",4 (1),ValgT,"270,472","109,156","283,377",59,12 (1)
AnomalyDetectTool,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),AnomalyDetectTool,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"48,081","43,968",0 (0),TraceMOP,"324,673","255,664","1,322,666",688,0 (0)
ValgJ,"55,326","23,517",0 (0),ValgT,"149,757","51,889","37,781",672,0 (0)
geogrid,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),geogrid,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"110,676","711,013",0 (0),TraceMOP,"349,830","1,427,813","4,000,576",68,0 (0)
ValgJ,"65,460","33,094",0 (0),ValgT,"200,102","140,283","200,871",69,0 (0)
btree4j,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),btree4j,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"130,999","113,937",0 (0),TraceMOP,"525,386","316,980","40,365,269","1,535",0 (0)
ValgJ,"105,547","51,489",0 (0),ValgT,"375,618","128,019","58,934",299,0 (0)
simplexml,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),,,,,,
JavaMOP,"1,882,580","1,610,351",2 (2),,,,,,
ValgJ,"2,016,870","1,755,724",2 (2),,,,,,
orientdb-jdbc,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),orientdb-jdbc,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"757,530","662,609","218,489 (10)",TraceMOP,"8,568,398","7,223,940","117,307,472","886,984","6,909 (8)"
ValgJ,"681,733","528,865","1,834 (10)",ValgT,"7,388,421","5,500,960","5,986,644","741,305","1,835 (8)"
ik-analyzer,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),ik-analyzer,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"93,508","92,559",3 (1),TraceMOP,"296,309","230,192","28,817,017",929,3 (1)
ValgJ,"71,778","55,364",3 (1),ValgT,"130,114","83,373","895,896",935,3 (1)
java.math.expression..,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),java.math.expression..,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"284,318","317,771",0 (0),TraceMOP,"2,972,029","2,436,803","328,001,801",135,0 (0)
ValgJ,"99,325","66,826",0 (0),ValgT,"719,439","63,354","160,498",131,0 (0)
functional-utils,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),functional-utils,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"408,351","591,849",173 (6),TraceMOP,"61,519","19,822","9,310",925,173 (6)
ValgJ,"20,187","3,366",62 (6),ValgT,"46,835","13,335","2,167",451,150 (6)
TurkishPropBank,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),TurkishPropBank,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"40,414","42,578",0 (0),TraceMOP,"224,958","176,989","36,922,494",96,0 (0)
ValgJ,"17,200","9,250",0 (0),ValgT,"62,673","10,574","154,853",86,0 (0)
