xeger,Execution Time (ms),Violations (Unique),xeger,Execution Time (ms),Duplicated Traces,Unique Traces
dictomaton,Execution Time (ms),Violations (Unique),dictomaton,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"135,111",143 (24),ValgT,"255,844","5,542,910","12,554"
Valg_alpha,"153,401",110 (24),Valg_alpha,"329,222","21,744,104","11,937"
Valg_epsilon,"139,077",234 (24),Valg_epsilon,"270,730","6,196,107","13,770"
ik-analyzer,Execution Time (ms),Violations (Unique),ik-analyzer,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"72,216",3 (1),ValgT,"131,272","896,206",935
Valg_alpha,"74,248",3 (1),Valg_alpha,"139,120","2,481,082",935
Valg_epsilon,"72,873",3 (1),Valg_epsilon,"135,064","1,097,564",934
functional-utils,Execution Time (ms),Violations (Unique),functional-utils,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"21,264",86 (6),ValgT,"47,301","2,149",534
Valg_alpha,"21,161",68 (6),Valg_alpha,"45,129","3,457",557
Valg_epsilon,"21,172",68 (6),Valg_epsilon,"40,506","2,781",548
rtree,Execution Time (ms),Violations (Unique),rtree,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"145,858",20 (18),ValgT,"235,209","1,603,187","1,996"
Valg_alpha,"149,972",21 (18),Valg_alpha,"213,981","1,685,737","2,004"
Valg_epsilon,"150,997",21 (18),Valg_epsilon,"232,081","1,975,949","1,901"
Jaba,Execution Time (ms),Violations (Unique),Jaba,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"99,215","35,136 (2)",ValgT,"156,036","2,362,404","1,878"
Valg_alpha,"101,288","34,929 (2)",Valg_alpha,"189,596","9,399,543","3,529"
Valg_epsilon,"98,887","30,002 (2)",Valg_epsilon,"165,457","4,139,936","2,955"
PointCloudUtilities,Execution Time (ms),Violations (Unique),PointCloudUtilities,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"56,328",18 (4),ValgT,"197,672","271,394","41,688"
Valg_alpha,"56,086",15 (4),Valg_alpha,"192,171","108,124","41,311"
Valg_epsilon,"56,611",12 (2),Valg_epsilon,"195,146","187,183","37,301"
databuilderframework,Execution Time (ms),Violations (Unique),databuilderframework,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"210,895",464 (3),ValgT,"284,474","3,470,808","1,279"
Valg_alpha,"226,916",464 (3),Valg_alpha,"304,537","10,024,775","1,301"
Valg_epsilon,"218,613",464 (3),Valg_epsilon,"287,925","3,245,508","1,328"
