HyperMinHash-java,JavaMOP,,JavaMOP + ps1c,,Valg + ps1c,,JavaMOP + ps3cl,,Valg + ps3cl,
,time,violation,time,violation,time,violation,time,violation,time,violation
b7392c82bd3e8239cbc88d847c72cf40b974face,200.13,19(4),3.51,0(0),2.86,0(0),2.83,0(0),2.61,0(0)
363c32b4dc9a415258b57b4c3b74cfeb36e61e25,202.77,19(4),2.62,0(0),2.65,0(0),2.55,0(0),2.57,0(0)
69de49e4a479b577ad9c3163030a8dbb84c1058f,208.09,19(4),2.51,0(0),2.63,0(0),2.57,0(0),3.22,0(0)
44e29ab5576bc0c0cd82c032208dcf185ee9c6a3,203.67,19(4),4.47,0(0),4.34,0(0),4.14,0(0),4.56,0(0)
15140452a7a76e512f93219313296a5caeb11166,199.54,19(4),5.24,0(0),4.25,0(0),4.17,0(0),5.82,0(0)
6003fbffdba837bdc4417234ec08673eb1dca553,196.74,19(4),5.56,0(0),4.27,0(0),4.12,0(0),4.32,0(0)
0eb06b1f85f46bbf44541b34672a35cce50514a6,212.85,19(4),5.47,0(0),4.79,0(0),5.35,0(0),4.45,0(0)
4f0519247da3a52602792f6ec822f611658f5bf8,184.19,19(4),2.59,0(0),2.6,0(0),2.57,0(0),2.83,0(0)
2be87d2e0f961bf078d11cadb18bda8cba7ec135,201.82,19(4),5.74,0(0),4.28,0(0),4.47,0(0),6.12,0(0)
bebdd55645007f447e1c58399c7fe5d8edbe8efd,184.95,19(4),2.66,0(0),2.65,0(0),2.92,0(0),2.6,0(0)
db9c603c9220145f739cb2bdae06d74db630d499,185.91,19(4),5.48,0(0),4.26,0(0),4.53,0(0),4.3,0(0)
5445ebc3e7648f912c43078e86a03c2160028da4,183.95,19(4),2.6,0(0),2.61,0(0),2.52,0(0),3.07,0(0)
a90ba64f9df6eb17d831ec2bcab4cb8cf6165727,182.87,19(4),3.11,0(0),2.65,0(0),2.69,0(0),2.88,0(0)
e2f9ae69ebd7e451fe123addd80f914953b5d731,184.8,19(4),2.71,0(0),2.65,0(0),2.57,0(0),2.61,0(0)
b0934d0dc4a36fe8237813ac887aa98fe92884ec,184.2,19(4),3.34,0(0),2.63,0(0),3.2,0(0),2.66,0(0)
0e4171074e5aa382cd65efd55f92939f6c703acc,188.68,19(4),167.99,19(4),70.6,4(4),136.15,3(3),36.7,3(3)
8d4fbf9cbc3a3cf88a12292998e7be09bbe5db15,210.47,19(4),3.32,0(0),2.69,0(0),3.24,0(0),2.71,0(0)
9c835d46787e08feafb16a2b66d0dc4941da93bd,207.28,19(4),2.64,0(0),2.57,0(0),2.96,0(0),2.6,0(0)
e640695467b4b5f365742b47d13b50d7b388938c,210.25,19(4),2.51,0(0),2.58,0(0),2.66,0(0),3.74,0(0)
